Id,Name,SeasonId,Tier,Region,RulesId,Comment
757,Second Division,85,2,,47,
758,Third Division,85,3,,65,
759,Fourth Division,85,4,,71,
760,First Division,86,1,,32,
761,Second Division,86,2,,47,
762,Third Division,86,3,,65,
763,Fourth Division,86,4,,70,
764,First Division,87,1,,32,
765,Second Division,87,2,,47,
766,Third Division,87,3,,65,
767,Fourth Division,87,4,,67,
768,First Division,88,1,,32,
769,Second Division,88,2,,47,
770,Third Division,88,3,,65,
771,Fourth Division,88,4,,67,
772,First Division,89,1,,32,
773,Second Division,89,2,,47,
774,Third Division,89,3,,65,
775,Fourth Division,89,4,,67,
776,First Division,90,1,,33,
777,Second Division,90,2,,48,
778,Third Division,90,3,,66,
779,Fourth Division,90,4,,68,
780,First Division,91,1,,33,
781,Second Division,91,2,,48,
782,Third Division,91,3,,66,
783,Fourth Division,91,4,,68,
784,First Division,92,1,,33,
785,Second Division,92,2,,48,
786,Third Division,92,3,,66,
787,Fourth Division,92,4,,68,
788,First Division,93,1,,33,
789,Second Division,93,2,,48,
790,Third Division,93,3,,66,Bradford City vs Lincoln City was abandoned after 40 mins but the result stands
791,Fourth Division,93,4,,68,
792,First Division,94,1,,33,
793,Second Division,94,2,,48,
794,Third Division,94,3,,66,
795,Fourth Division,94,4,,68,
796,First Division,95,1,,34,
797,Second Division,95,2,,44,
798,Third Division,95,3,,56,
799,Fourth Division,95,4,,61,
800,First Division,96,1,,28,
801,Second Division,96,2,,49,
802,Third Division,96,3,,56,
803,Fourth Division,96,4,,61,
804,First Division,97,1,,23,
805,Second Division,97,2,,57,
806,Third Division,97,3,,59,
807,Fourth Division,97,4,,62,
808,First Division,98,1,,23,
809,Second Division,98,2,,57,Sunderland were promoted in place of Swindon Town due to financial irregularities
810,Third Division,98,3,,59,
811,Fourth Division,98,4,,62,
812,First Division,99,1,,22,
813,Second Division,99,2,,63,
814,Third Division,99,3,,64,
815,Fourth Division,99,4,,72,
816,First Division,100,1,,33,
817,Second Division,100,2,,57,
818,Third Division,100,3,,59,
819,Fourth Division,100,4,,45,Aldershot were expelled from the Football League in March 1992 and their results expunged
820,Premier League,101,1,,33,
821,First Division,101,2,,57,
822,Second Division,101,3,,59,
823,Third Division,101,4,,46,
824,Premier League,102,1,,33,
825,First Division,102,2,,57,
826,Second Division,102,3,,59,
827,Third Division,102,4,,45,
828,Premier League,103,1,,35,
829,First Division,103,2,,54,
830,Second Division,103,3,,55,
831,Third Division,103,4,,40,
832,Premier League,104,1,,23,
833,First Division,104,2,,57,
834,Second Division,104,3,,59,
835,Third Division,104,4,,60,
836,Premier League,105,1,,23,
837,First Division,105,2,,57,
838,Second Division,105,3,,59,
839,Third Division,105,4,,62,
840,Premier League,106,1,,23,
841,First Division,106,2,,57,
842,Second Division,106,3,,59,
843,Third Division,106,4,,62,
844,Premier League,107,1,,23,
845,First Division,107,2,,57,
846,Second Division,107,3,,59,
847,Third Division,107,4,,62,
848,Premier League,108,1,,23,
849,First Division,108,2,,57,
850,Second Division,108,3,,59,
851,Third Division,108,4,,62,
852,Premier League,109,1,,23,
853,First Division,109,2,,57,
854,Second Division,109,3,,59,
855,Third Division,109,4,,62,
856,Premier League,110,1,,23,
857,First Division,110,2,,57,
858,Second Division,110,3,,59,
859,Third Division,110,4,,62,
860,Premier League,111,1,,23,
861,First Division,111,2,,57,
862,Second Division,111,3,,59,
863,Third Division,111,4,,63,
864,Premier League,112,1,,23,
865,First Division,112,2,,57,
866,Second Division,112,3,,59,
867,Third Division,112,4,,63,
868,Premier League,113,1,,23,
869,Championship,113,2,,57,
870,League 1,113,3,,59,
871,League 2,113,4,,63,
872,Premier League,114,1,,23,
873,Championship,114,2,,57,
874,League 1,114,3,,59,
875,League 2,114,4,,63,
876,Premier League,115,1,,23,
877,Championship,115,2,,57,
878,League 1,115,3,,59,
879,League 2,115,4,,63,
880,Premier League,116,1,,23,
881,Championship,116,2,,57,
882,League 1,116,3,,59,
883,League 2,116,4,,63,
884,Premier League,117,1,,23,
885,Championship,117,2,,57,
886,League 1,117,3,,59,
887,League 2,117,4,,63,
888,Premier League,118,1,,23,
889,Championship,118,2,,57,
890,League 1,118,3,,59,
891,League 2,118,4,,63,
892,Premier League,119,1,,23,
893,Championship,119,2,,57,
894,League 1,119,3,,59,
895,League 2,119,4,,63,
896,Premier League,120,1,,23,
897,Championship,120,2,,57,
898,League 1,120,3,,59,
899,League 2,120,4,,63,
900,Premier League,121,1,,23,
901,Championship,121,2,,57,
902,League 1,121,3,,59,
903,League 2,121,4,,63,
904,Premier League,122,1,,23,
905,Championship,122,2,,57,
906,League 1,122,3,,59,
907,League 2,122,4,,63,
908,Premier League,123,1,,23,
909,Championship,123,2,,57,
910,League 1,123,3,,59,
911,League 2,123,4,,63,
912,Premier League,124,1,,23,
913,Championship,124,2,,57,
914,League 1,124,3,,59,
915,League 2,124,4,,63,
916,Premier League,125,1,,23,
917,Championship,125,2,,57,
918,League 1,125,3,,59,
919,League 2,125,4,,63,
920,Premier League,126,1,,23,
921,Championship,126,2,,57,
922,League 1,126,3,,59,
923,League 2,126,4,,63,
924,Premier League,127,1,,23,
925,Championship,127,2,,57,
926,League 1,127,3,,59,
927,League 2,127,4,,63,
928,Premier League,128,1,,23,
929,Championship,128,2,,57,
930,League 1,128,3,,50,Due to COVID-19, the season was terminated early and the final table determined by points-per-game. Play-offs were held in July. Bury were expelled from the EFL on 27th August 2019 due to financial issues. There were no results to expunge.
931,League 2,128,4,,62,Due to COVID-19, the season was terminated early and the final table determined by points-per-game. Play-offs were held in July.
932,Premier League,129,1,,23,
933,Championship,129,2,,57,
934,League 1,129,3,,59,
935,League 2,129,4,,63,
936,Premier League,135,1,,23,
937,Championship,135,2,,57,
938,League 1,135,3,,59,
939,League 2,135,4,,63,
